,Ticker,EBIT/EV,FCF/EV,Sales/EV,E/P,E/EV,Debt/Equity,Passes Graham test,Enterprise Value (M),Market cap (M),Net income (M),Operating income (M),Dividend Yield (%),Shareholder Yield (%),Buyback Yield (%),overperformer
71,APO,-0.01163727557611524,-0.0459257053976226,-0.04304527036634453,0.03506930528294311,-0.011319213703500032,-5.855115758028379,False,-82502.816,26629.184,933.867,960.108,3.6125777741574843,5.9971795273695445,2.3846017532120607,1.0
72,AAPL,0.05249640348958037,0.04898278334259321,0.1733198405455533,0.04529538233562281,0.04386662891290463,2.3695334701610355,False,2275146.335,2203381.335,99803.0,119437.0,0.6735556739206017,4.731046702816878,4.057491028896276,0.0
73,AMAT,0.08271610406457523,0.04900907912973034,0.27400240792716757,0.07077235833368113,0.06933743307057469,0.452029826014913,False,94105.012,92197.012,6525.0,7784.0,0.9468853459816647,7.566405697099763,6.619520351118099,1.0
74,APP,-0.004985909922469175,0.04237381820698301,0.29389628663077083,-0.02660969464950316,-0.02010868560850879,1.7457173646661728,False,9585.211,7243.45,-192.746,-47.791,0,4.678433442366447,4.678433442366447,1.0
75,ATR,0.05305558771434598,0.022411988112644436,0.4567960018358468,0.038560886471089406,0.03290114668927468,0.6359963983224888,False,7272.938,6205.459,239.288,385.87,1.6027984392451873,3.0873945021633373,1.48459606291815,1.0
76,APTV,0.058566293009259626,0.018204211254361856,0.7598411709487697,0.028032550646878585,0.025807402112388887,0.8147651006711409,False,23016.652,21189.652,594.0,1348.0,0.29731493110325774,0.29731493110325774,-0.0,0.0
77,ARMK,0.040465849461144954,0.02123506411833215,1.0514123304014646,0.02409263335823643,0.012524504494364446,2.56974029917746,False,15528.279,8072.343,194.484,628.365,1.4013279681021087,1.4013279681021087,-0.0,0.0
78,ACGL,0.08374647007383548,0.21174734861281436,0.5401128100458652,0.09311004889563924,0.08309607454355517,0.2310409144128372,False,17773.8,15862.23,1476.933,1488.493,0.25681130774468175,3.950005797554989,3.6931944898103075,1.0
79,AMBP,0.026389988121443508,-0.058627757701615976,0.7030832630764126,0.061571301516394276,0.0355365180953529,6.20985401459854,False,6669.196,3849.196,237.0,176.0,6.520842481272136,7.45610275747053,0.935260276198394,0.0
80,ARES,0.013600120489934489,-0.03417844993819154,0.13563997986057785,0.015375627403416404,0.007437631095006869,8.384862082173186,False,22526.124,10896.531,167.541,306.358,7.6755070326851085,7.6755070326851085,-0.0,1.0
81,ANET,0.0466162468630146,0.013680750871485273,0.133743321382664,0.03789202894422435,0.041284597536056206,0.010733103804645516,False,32759.094,35692.098,1352.446,1527.106,0,1.877970314891486,1.877970314891486,1.0
82,AWI,0.04719901899137781,0.04058982114110001,0.27440410333931153,0.05255608737855004,0.04515172538119075,1.3812356101304681,False,4493.737,3860.637,202.9,212.1,1.1448886457032585,5.41879422355479,4.273905577851531,0.0
83,ARW,0.2217643188530665,-0.011939158205965575,3.960526011839812,0.24118871523706917,0.1522235470192112,0.7227847625895797,False,9373.609,5916.048,1426.884,2078.732,0,17.739663573773765,17.739663573773765,0.0
84,AJG,0.03959775127152278,0.04614946991132479,0.20312228209387645,0.03086424472484019,0.02646818313439959,0.7638969884998483,False,42095.825,36100.025,1114.2,1666.9,1.1897498751856812,,,1.0
85,ASH,0.04709570286611225,-0.05330971921650206,0.3909924498363694,0.17236225696172913,0.1515892936002988,0.4295031055900621,True,6115.208,5378.208,927.0,288.0,1.3015488659461747,5.020259911506674,3.718711045560499,0.0
86,AIZ,0.04173884370728112,0.04897962053789548,1.2159017831046484,0.03599885168660791,0.032995039066687507,0.5194808363219401,False,8383.078,7683.578,276.6,349.9,1.9548183381520274,9.409678152356298,7.45485981420427,0.0
87,AGO,0.02854374224352734,-0.4781076825790829,0.1319183763146804,0.0340563496361079,0.0239150272851175,0.3398255224183404,False,5185.024,3641.024,124.0,148.0,1.7577470779926658,15.49014612481037,13.732399046817703,0.0
88,T,0.0883282531472892,0.047793869943125324,0.4654900097445265,-0.07797596999961882,-0.03286238181779465,1.2457886051337352,False,259384.729,109315.729,-8524.0,22911.0,9.018830223207907,12.270878244660803,3.252048021452897,0.0
89,TEAM,-0.0019861735487690393,0.015091594284373335,0.05229350901040667,-0.011412832594053315,-0.011457742041051669,2.730254903633485,False,53599.042,53809.954,-614.124,-106.457,-0.0,,,0.0
90,ATO,0.04103130844711983,-0.0653500289444739,0.18719116064433658,0.05396381966548109,0.03450074290141686,0.8649529981183959,False,22445.836,14350.319,774.398,920.982,2.6195516137347536,2.6195516137347536,0,0.0
91,ADSK,0.012728686804072915,0.03018941131898641,0.09040335459421217,0.01057439532764185,0.010243130410661008,4.114864864864865,False,48520.323,47000.323,497.0,617.6,0,2.294665062547633,2.294665062547633,0.0
92,AN,0.19593431469541653,0.12960021773703742,2.6116510160809163,0.2587228146676126,0.13330695236427104,2.4173465768002838,False,10332.544,5323.844,1377.4,2024.5,0,31.922420758502078,31.922420758502078,1.0
93,AZO,0.07587711892341525,0.058895915988180905,0.3770328842532344,0.05994284449318678,0.05636399458493974,-0.8019335315674615,False,43105.603,40532.01,2429.604,3270.729,0,10.756907813153664,10.756907813153664,0.0
94,AVB,0.022897841085745756,0.037150874036685974,0.07725040082274284,0.04413806176330951,0.0338608648089351,0.7152130646492405,False,33571.942,25754.982,1136.775,768.725,3.455762419938874,3.455762419938874,-0.0,0.0
95,AGR,0.03079646015960265,-0.053640782719307896,0.2863853918363049,0.04642824688612914,0.031844696479589124,0.4521730143145057,False,27665.517,18975.517,881.0,852.0,3.5888349749663955,3.594104923534628,0.005269948568232592,0.0
96,AVTR,0.04838230584644699,0.030402684137450585,0.3215955003015823,0.03936967328926139,0.029388119769585785,1.3477588535087337,False,23359.78,17437.28,686.5,1130.2,0.1858088003746641,0.2615086820087865,0.0756998816341224,0.0
97,AVY,0.05938248071997205,0.03665072990216274,0.5000708570635768,0.05023409056344766,0.041884177522909294,1.560703432471479,False,18076.038,15071.438,757.1,1073.4,1.5851174528606058,4.103125294470484,2.518007841609878,0.0
98,CAR,0.15135557400032085,0.182393929037253,0.46476158590881933,0.432972314208823,0.10710363710621783,-39.30058939096267,False,25806.78,6383.78,2764.0,3906.0,0,52.14778704779927,52.14778704779927,0.0
